,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,sat_score,AP Test Takers ,Total Exams Taken,Number of Exams with scores 3 4 or 5,Demographic,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Dropped Out - n,Dropped Out - % of cohort,schoolyear,total_enrollment,ell_num,ell_percent,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,boro,lat,lon
0,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355.0,404.0,363.0,1122.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,78.0,43,55.1%,11,14.1%,20052006,294,29.0,9.9,34,11.6,106,36.1,133,45.2,10,3.4,160.0,54.4,134.0,45.6,Manhattan,40.71376394700047,-73.98526003999967
1,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355.0,404.0,363.0,1122.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,78.0,43,55.1%,11,14.1%,20062007,434,46.0,10.6,57,13.1,137,31.6,208,47.9,14,3.2,241.0,55.5,193.0,44.5,Manhattan,40.71376394700047,-73.98526003999967
2,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355.0,404.0,363.0,1122.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,78.0,43,55.1%,11,14.1%,20072008,515,52.0,10.1,56,10.9,158,30.7,272,52.8,12,2.3,281.0,54.6,234.0,45.4,Manhattan,40.71376394700047,-73.98526003999967
3,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355.0,404.0,363.0,1122.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,78.0,43,55.1%,11,14.1%,20082009,470,50.0,10.6,47,10.0,138,29.4,264,56.2,14,3.0,264.0,56.2,206.0,43.8,Manhattan,40.71376394700047,-73.98526003999967
4,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355.0,404.0,363.0,1122.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,78.0,43,55.1%,11,14.1%,20092010,511,81.0,15.9,52,10.2,141,27.6,290,56.8,16,3.1,297.0,58.1,214.0,41.9,Manhattan,40.71376394700047,-73.98526003999967
5,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355.0,404.0,363.0,1122.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,78.0,43,55.1%,11,14.1%,20102011,448,97.0,21.7,56,12.5,126,28.1,255,56.9,9,2.0,267.0,59.6,181.0,40.4,Manhattan,40.71376394700047,-73.98526003999967
6,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355.0,404.0,363.0,1122.0,129.98750867453157,198.6446911866759,154.64675592173018,Total Cohort,2006,78.0,43,55.1%,11,14.1%,20112012,422,94.0,22.3,59,14.0,123,29.1,227,53.8,7,1.7,259.0,61.4,163.0,38.6,Manhattan,40.71376394700047,-73.98526003999967
7,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383.0,423.0,366.0,1172.0,39.0,49.0,10.0,Total Cohort,2006,124.0,53,42.7%,20,16.100000000000001%,20052006,478,37.0,7.7,120,25.1,72,15.1,217,45.4,21,4.4,247.0,51.7,231.0,48.3,Manhattan,40.7123318510005,-73.98479662499966
8,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383.0,423.0,366.0,1172.0,39.0,49.0,10.0,Total Cohort,2006,124.0,53,42.7%,20,16.100000000000001%,20062007,533,36.0,6.8,129,24.2,93,17.4,252,47.3,22,4.1,258.0,48.4,275.0,51.6,Manhattan,40.7123318510005,-73.98479662499966
9,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383.0,423.0,366.0,1172.0,39.0,49.0,10.0,Total Cohort,2006,124.0,53,42.7%,20,16.100000000000001%,20072008,588,42.0,7.1,131,22.3,115,19.6,278,47.3,26,4.4,300.0,51.0,288.0,49.0,Manhattan,40.7123318510005,-73.98479662499966
